country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-09,-24,-1,-2,-34,-21,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-10,-19,4,4,-31,-20,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-11,-25,0,-21,-35,-21,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-12,-24,4,-14,-33,-20,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-13,-26,-1,0,-29,-3,4
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-14,-48,-17,-9,-34,-5,5
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-15,-23,-1,-6,-34,-21,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-16,-25,-1,-4,-35,-21,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-17,-23,1,-8,-34,-20,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-18,-20,5,-6,-33,-20,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-19,-22,6,-16,-33,-19,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-20,-38,-4,-6,-37,-4,6
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-21,-58,-29,-31,-43,-8,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-22,-29,-3,-6,-38,-23,9
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-23,-32,-4,-3,-39,-24,10
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-24,-27,0,-1,-37,-24,9
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-25,-21,7,21,-34,-24,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-26,-21,9,23,-33,-23,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-27,-43,-8,18,-35,-5,6
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-28,-31,101,18,-33,5,4
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-29,-35,-7,-10,-41,-27,11
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-30,-29,4,46,-36,-28,10
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-03-31,-29,13,87,-28,-27,7
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-04-01,-29,23,40,-31,-30,8
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-04-02,-34,27,16,-40,-40,13
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-04-03,-63,-29,-13,-50,-36,11
PL,Poland,,,,,,ChIJuwtkpGSZAEcR6lXMScpzdQk,2021-04-04,-76,-47,15,-53,-13,3
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-01,-87,-90,-15,-78,-89,30
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-02,-46,-23,3,-52,-33,11
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-03,-64,-49,-33,-50,-18,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-04,-27,-5,-12,-41,-18,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-05,-23,10,-13,-47,-33,11
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-06,-75,-82,16,-69,-83,30
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-07,-27,-4,-10,-47,-31,12
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-08,-29,-4,-7,-46,-27,12
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-09,-32,-10,2,-44,-7,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-01-10,-55,-32,-1,-43,-9,6
