day of the week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Number_of_people_hospitalized,Engaged_respirator
0.5,0.13014255747249456,0.016983736785381266,0.07209011264080098,-0.0035419126328216973,-0.06547276760042717,-0.3267718985218113,-0.3356056310248761
-0.5,0.11605805043024103,0.016983736785381266,0.08385481852315393,-0.011806375442739037,-0.06547276760042717,-0.32800261233582345,-0.3347365696112029
-0.3333333333333333,0.045635515218973424,-0.018872836919798013,0.17797246558197746,0.21133412042502958,-0.22763492976258934,-0.3299237265820863,-0.3338675081975297
-0.16666666666666666,0.4329594588809453,-0.02484893253732789,0.3662077596996245,0.44273907910271554,-0.3357430378706975,-0.33064414442443485,-0.3329984467838564
0.0,0.08084678282460724,-0.03082502815485777,0.0015018773466833042,-0.028335301062573762,-0.011418713546373109,-0.332084980109132,-0.3321293853701832
0.16666666666666666,0.1583115715570016,0.016983736785381266,0.09561952440550685,-0.0035419126328216973,-0.06547276760042717,-0.331664736367762,-0.3324190725080743
0.3333333333333333,0.1583115715570016,0.01299967304036135,0.1073842302878598,-0.011806375442739037,-0.09249979462745421,-0.32830278643680205,-0.33444688247331184
0.5,0.1442270645147481,0.02096780053040119,0.08385481852315393,-0.0200708382526564,-0.06547276760042717,-0.33238515421011056,-0.33589531816276724
-0.5,0.11605805043024103,0.016983736785381266,0.07209011264080098,-0.0200708382526564,-0.09249979462745421,-0.33370592025441626,-0.3361850053006583
-0.3333333333333333,0.08084678282460724,-0.0029365819397183307,0.22503128911138923,0.21133412042502958,-0.28168898381664337,-0.33406612917559053,-0.33589531816276724
-0.16666666666666666,0.2146495997260157,0.08471282045071991,0.30738423028785977,0.27744982290436837,-0.30871601084367045,-0.33304553723226343,-0.3347365696112029
0.0,0.15126931803587484,0.00901560929534143,0.06032540675844803,-0.04486422668240846,-0.06547276760042717,-0.332295101979817,-0.335026256749094
0.16666666666666666,0.1583115715570016,0.016983736785381266,0.08385481852315393,-0.0365997638724911,-0.06547276760042717,-0.3362574001127341,-0.33589531816276724
0.3333333333333333,0.15126931803587484,0.005031545550321509,0.06032540675844803,-0.0365997638724911,-0.06547276760042717,-0.33550696486028764,-0.3379231281280048
0.5,0.1583115715570016,0.02096780053040119,0.08385481852315393,-0.0365997638724911,-0.06547276760042717,-0.33538689521989623,-0.33821281526589586
-0.5,0.13014255747249456,0.02096780053040119,0.09561952440550685,-0.028335301062573762,-0.11952682165448122,-0.33808846212870336,-0.3379231281280048
-0.3333333333333333,0.08788903634573399,0.0010474818053015894,0.15444305381727158,0.17001180637544278,-0.2006079027355623,-0.3374881139267462,-0.33763344099011366
-0.16666666666666666,0.2850721349372833,0.14447377662601868,0.4367959949937422,0.31877213695395523,-0.30871601084367045,-0.3376982357974312,-0.33821281526589586
0.0,0.1794383321203819,0.016983736785381266,0.08385481852315393,-0.05312868949232583,-0.06547276760042717,-0.3367977134944955,-0.3370540667143315
0.16666666666666666,0.1794383321203819,0.02096780053040119,0.1073842302878598,-0.05312868949232583,-0.09249979462745421,-0.33856874069026904,-0.3356056310248761
0.3333333333333333,0.18648058564150868,0.02096780053040119,0.11914893617021276,-0.04486422668240846,-0.09249979462745421,-0.3387488451508562,-0.33589531816276724
0.5,0.16535382507812837,0.02495186427542111,0.07209011264080098,-0.05312868949232583,-0.03844574057340014,-0.33949928040330263,-0.3373437538522226
-0.5,0.1442270645147481,0.02096780053040119,0.09561952440550685,-0.04486422668240846,-0.09249979462745421,-0.33787834025801833,-0.3364746924385494
-0.3333333333333333,0.09493128986686075,0.0010474818053015894,0.2838548185231539,0.1865407319952775,-0.28168898381664337,-0.33946926299320473,-0.3379231281280048
-0.16666666666666666,0.26394537437390303,0.08471282045071991,0.3897371714643304,0.25265643447461633,-0.30871601084367045,-0.339199106302324,-0.33763344099011366
0.0,0.17239607859925513,0.02096780053040119,0.08385481852315393,-0.06965761511216055,-0.09249979462745421,-0.3387488451508562,-0.3361850053006583
0.16666666666666666,0.18648058564150868,0.028935928020441027,0.1073842302878598,-0.06965761511216055,-0.09249979462745421,-0.33778828802772476,-0.33589531816276724
